detector,n_alertes,x_mean,x_std,y_mean,y_std,snr_median
186,10,2290.553144,1709.4405529637822,580.1769158,255.44486249463193,236.76031999999998
119,9,2618.3808844444447,1168.65618065763,1855.8581122222224,1149.1510922177667,270.5561
85,9,2335.7706966666665,1120.5145794205737,1591.1356088888888,1301.3863528394243,141.46732
49,9,2293.3514999999998,1092.4606597118552,1353.823471111111,891.7732274645845,228.99278
64,9,2327.857504444444,1055.5297474147355,2213.465177777778,1094.2375390285167,212.60556
86,9,2029.19312,1324.4586273808327,2193.6289144444445,1595.84259282883,43.286247
112,9,1963.3831,978.197441242908,1531.5760899999998,1063.8519898539607,243.72746
35,9,2306.84793,1251.840719535406,2641.587717777778,1141.1919681798076,246.5439
39,9,1497.003381888889,1549.073570229648,1624.7044455555556,1362.35578764485,137.07512
75,8,1322.0701999999999,673.0986869477568,1610.6879775,1034.4235801696886,247.29266
50,8,2820.6719625,1115.7838209955405,2594.1077375,1110.2881456508962,247.10869000000002
173,8,1931.50962375,1153.432524872748,2536.0700825,1085.5247380933572,61.666948000000005
116,8,2603.9187,966.8525161038441,2439.2253425,1489.5133844468392,123.214298
149,8,1661.98879,1251.0401230983566,1308.2901075,991.4570287341246,83.42315500000001
21,8,1514.5372825,1153.0069569230836,2010.000595,1570.3657447329947,226.34661499999999
14,8,2314.1841825,1198.9270214621263,2005.9072375,1258.2797437514928,169.870685
15,8,2187.4335475,1312.918239865621,1583.70910125,1007.1604452648077,66.628025
84,8,1554.195935625,987.2188266866626,2291.760625,1264.8092249559975,102.891775
115,8,1065.9832416250001,1332.508134610366,2330.77446,1282.4126935615284,23.416337
128,7,1235.718182857143,603.628166327323,3231.006122857143,1030.184529514032,119.75753
43,7,1977.5754142857145,1261.6999710692155,2538.688785714286,883.3117031039013,135.25905
48,7,1868.1435900000001,1279.904613591291,1736.2867957142857,1276.2733462016893,89.760216
121,7,1799.3639600000001,1082.701626427062,1945.16011,1048.4369093128819,268.83847
104,7,2130.482959285714,1382.8038691911536,1883.6546142857144,840.8065666115253,201.80055
97,7,617.27806,357.32061261084846,1137.3252914285715,1203.6856874012906,42.473057
79,7,978.030342,586.2590375182656,1802.776337142857,823.7439944518522,223.44543
74,7,1517.1446714285714,1088.7056264067403,982.4205677142857,980.0533059341583,245.70741
179,7,1715.3484285714287,1056.3524163334814,2379.8834714285717,964.2514955688494,84.61267
132,7,2811.2965714285715,991.3417562441416,2056.7695442857143,1481.9896366469673,223.13162
133,7,1807.05027,1237.301770958602,1954.42563,1391.5984933083105,185.63614
182,7,1418.6344357142857,1405.6220194714565,2147.322317142857,1382.6831836662536,20.044077
185,6,1053.2636316666667,1399.9005149564525,2867.0830499999997,989.8242958880992,967.82309
180,6,2937.437933333333,647.0425021642571,2473.50405,743.7144641631863,116.562795
175,6,1354.8885608333333,927.0459063148508,2666.906833333333,806.5923225539174,89.61817
171,6,2162.1493416666667,1391.0392465501593,1510.948445,1120.6200913649213,61.225373
126,6,1104.1439266666666,634.7452694140098,2631.56495,1096.2988469878455,108.858682
154,6,1885.7653899999998,1809.6080717610507,998.9209326666668,833.2364607901083,143.61096
152,6,2084.66826,1218.6724357053674,2780.4383166666667,807.9364313765889,70.5613125
181,6,810.4078541666667,1063.3298304941734,1488.3490773333333,1525.3684826387419,48.986722
91,6,750.3743433333333,1131.830247219282,2690.2059,769.2433709480349,25.4497195
103,6,2025.208915,1551.334041511009,1820.8710166666667,1022.2440111955627,212.074365
93,6,2495.2226833333334,787.9920592027216,2201.16935,1347.319943613725,133.5292
107,6,3220.220333333333,908.2169381599853,2037.2671050000001,1622.0300992633631,36.00753
37,6,1771.0423983333333,1557.6422866736393,1092.5608626666665,1440.7271833215516,59.9308915
131,6,1829.0550466666666,1065.8516248669064,1482.0430399999998,1349.867566630153,78.22662
140,6,2114.9843616666667,1015.6683457960861,784.8820666666667,397.3464231392032,84.388
16,6,2613.451883333333,1223.0886718453237,1317.6241933333333,616.8104342359233,240.35388999999998
29,6,2471.23935,1436.423329760211,1405.596655,1326.9366827817705,252.187395
10,5,1726.801444,1482.2431794980027,2878.24176,732.0576482443121,189.62321
8,5,1790.7188600000002,565.2130984971535,2623.08284,1452.0911195145256,24.046505
18,5,1452.2323609999999,1512.0406702591554,1615.763934,1206.4495354296412,97.790054
143,5,2447.818608,1316.9081190071558,2242.2725259999997,1492.3620362278207,60.83749
94,5,456.84822299999996,331.2175781593272,2067.64578,1119.0062831195776,15.565254
36,5,1608.680806,1316.4126491445436,2164.40632,1541.5251819847044,31.760473
156,5,1410.4590779999999,1313.6072308454684,2116.5468114,1640.7973599276245,66.73174
151,5,2670.34883,1534.4248393449172,1631.4397860000001,868.4323898685565,94.242004
184,5,2967.8298,1170.6555577402412,591.442108,773.0841623429458,127.29199
164,5,2281.64566,1482.073537001563,1850.8697120000002,874.5368395482108,83.636215
124,5,1870.9033599999998,1291.431402557336,2183.83474,1110.1893139534461,250.62332
80,5,2378.635992,1957.4091688491374,934.136442,788.0248844266758,103.408104
111,5,2017.48594,1075.8306196640056,626.3307385999999,580.3483491955532,202.77328
176,4,2062.40712,1250.232721874231,2055.922125,1270.170151741394,44.460943
166,4,3504.54565,830.4228148947356,2968.2960675,1730.6683383164507,64.1194815
127,4,1351.976105,822.4492828763454,2944.45095,1296.3902646113334,97.60518
129,4,1798.1066775,1671.1377606382193,1937.932,1178.5791050721118,162.65563
144,4,3213.3436,549.066951881754,2562.38425,61.719359635341846,117.990815
142,4,1631.086965,1275.8335653232064,2955.46115,777.2970177150838,26.0966005
138,4,2174.2649375,1441.8921447623277,1679.4244625,848.1433457195266,95.674942
136,4,2408.6210425,1384.258594058503,1785.2878175,1015.8727650182259,108.22205
134,4,1732.1337700000001,1082.676055238069,1993.1996625,2136.7816922618,62.34645
26,4,2619.5727875,1531.784024063209,898.3254725,787.9441216366695,239.58299499999998
38,4,2289.61839,1540.874230194583,1673.3574425,1398.8085277985892,212.209608
44,4,3068.6616999999997,1250.3265275752117,2420.854175,1642.9012111941045,158.329185
31,4,1808.1182675,1428.8629589033058,760.7972675,629.492781634975,268.1413
45,4,3022.878125,658.2276429861095,2567.6195,297.61761287100154,192.299105
5,4,1400.4031875,815.2042066313492,1351.1844725,1242.334759673386,87.3710595
28,4,1322.0120849999998,1231.9827514995543,636.5996325,476.6972310974558,243.5895
172,4,1763.3743725,1525.2942854688276,1932.5719250000002,565.9845618056048,57.574958499999994
125,4,1199.1142975,826.8920687216041,1936.19355,1923.798102774661,295.77925
81,4,1783.7959425,1566.5337431441044,1601.0134625,1225.3817891225299,155.093647
160,4,2188.594175,1323.3576515947716,1666.8804249999998,1307.9038821565453,165.573875
148,4,2486.1357749999997,870.6939563044693,2301.2651,961.5596043942987,111.847035
162,4,2055.50913,1649.177502172837,1783.6340599999999,1273.4362404832568,242.273585
82,4,890.07237125,1397.2957185829148,1364.5190049999999,1068.0820258894896,29.0675345
83,4,856.1884575,885.8987987736599,1993.0328749999999,1084.8818308355164,136.56785
99,4,1171.24471,393.3289038995757,1728.7785800000001,1385.2750751488757,20.2047675
106,4,705.4223509999999,698.4406187795429,1424.2282225000001,1509.4773767617887,23.855961
96,4,2314.01395,1043.576933426314,1178.47015,1102.3052506503586,113.2381125
87,3,1868.7238666666665,703.7213634029971,2147.9194533333334,1325.202853778835,99.04716
42,3,2718.2175733333333,2003.623966060132,1843.6388900000002,1360.4623311177188,26.19265
110,3,1455.5118333333332,653.854313151319,1770.84617,1341.7328477092503,221.8774
177,3,2195.1774333333333,1511.2495559364156,894.1873633333333,651.3264120693073,56.823498
147,3,1895.0071533333332,1122.9984238924212,3483.0995333333335,290.1709112226162,115.224655
90,3,2999.0687666666668,876.0338994607532,2491.18942,1478.3080069019595,162.55368
174,3,1673.8583500000002,1660.1166489300692,1308.4343000000001,1324.4561068739386,33.00644
137,3,1993.3046666666667,646.2671732698198,1738.8164333333334,1690.7849331088366,124.26974
150,3,1827.9135666666668,1589.7042010718922,1612.29554,1798.8200951942342,51.08409
163,3,1908.1010666666668,646.1927666495915,2932.0159333333336,860.92465174549,224.33136
170,2,2833.07395,1690.7843084092676,1433.0329,1151.2354592809934,519.57788
4,2,735.0456019999999,885.4579176137471,3842.7349,189.10029370051248,8.89145075
11,2,1684.4424,528.2799004885381,2070.0294249999997,2688.9635704092902,306.21896
139,2,1076.5162,33.59209758976067,3318.95175,751.141502431549,32.1677465
135,2,2840.7794,625.0829602543328,1551.3367,958.9927830448883,74.93110999999999
178,2,2985.4951,1423.6514580029482,1324.437465,1266.8705191835354,22.9430735
167,2,1816.7641435,2509.756098678696,1967.19211,2394.155501039349,22.515842999999997
40,2,286.85096,225.75737391759722,2376.5935,152.28746614380333,25.455775000000003
9,2,2136.5554,416.4406392848805,3493.9311500000003,522.7120709827977,250.40331
183,2,1518.3421349999999,1680.9880722759126,1624.95685,193.33918672169128,199.82987
52,2,1103.4371549999998,1353.3566223112412,3226.0108499999997,216.77256402885703,19.713646
53,2,228.62326000000002,184.62068738888175,1876.96575,1402.9566345486396,25.4083755
32,1,224.51295,,1358.9,,258.21457
3,1,2255.6904,,3827.9377,,10.634759
2,1,3372.6204,,2246.4814,,93.24758
7,1,3232.4556,,1125.2194,,50.316856
12,1,3574.1636,,496.04614,,60.511623
41,1,328.56305,,3851.1387,,12.835054
105,1,145.6244,,1314.6521,,50.6624
114,1,2513.197,,3952.9202,,49.71031
98,1,33.705185,,2289.4448,,122.12852
95,1,1380.6582,,376.48175,,19.017254
92,1,1847.213,,247.56381,,152.98763
102,1,132.0624,,81.98153,,18.359407
130,1,1109.3577,,973.5183,,88.87864
